strain_name,mating_type,strain_num,concentration,media,FSC.A_mean_all_mean,FSC.A_mean_lowerquant_mean,FSC.A_mean_upperquant_mean,FSC.A_mean_all_corr_mean,FSC.A_mean_upperquant_corr_mean,FSC.A_mean_all_sd,FSC.A_mean_lowerquant_sd,FSC.A_mean_upperquant_sd,FSC.A_mean_all_corr_sd,FSC.A_mean_upperquant_corr_sd,FSC.A_mean_all_se,FSC.A_mean_lowerquant_se,FSC.A_mean_upperquant_se,FSC.A_mean_all_corr_se,FSC.A_mean_upperquant_corr_se
273614N,diploid,SGRP-1,0.02,Ethanol,12080.880998152668,6440.608163330078,22832.147376473134,1.883717397985331,3.5712851651379056,886.6778850977713,786.38086710231,1043.3865218811852,0.09806162932198953,0.3364483802222669,511.92371564568634,454.0172053070901,602.3994892769297,0.05661590808622396,0.19424856288973938
DBVPG 1373,diploid,SGRP-10,0.02,Ethanol,12243.347945296224,6467.337619140625,23718.2596015625,1.892715003781069,3.666345846962692,569.5571876649511,77.93123762219153,1813.4176327343478,0.07077196345208807,0.25593380930056703,328.83399561724576,44.993621019452974,1046.9771584123896,0.040860212150141406,0.14776345369440874
DBVPG 1373,haploid_mat_a,SGRP-11,0.02,Ethanol,12666.004278011067,5645.74448245696,34594.18934375,2.242948828568003,6.125516057141626,758.0735444622766,36.141782633101116,2860.579707138575,0.12010208895043574,0.46917682249708087,437.67396496082915,20.866467932213872,1651.5564639548372,0.06934097338577046,0.27087936476622293
DBVPG 1373,haploid_mat_alpha,SGRP-12,0.02,Ethanol,12594.629946777344,5629.733626246963,33838.760163411454,2.236467582559731,6.008724561766922,685.5125072969844,60.89226495799937,2063.279497636099,0.09860046345016203,0.309031141644934,395.7808306207693,35.156165565066956,1191.2349733736378,0.05692700411517291,0.17841921281668002
DBVPG 6044,diploid,SGRP-13,0.02,Ethanol,10697.33645485026,6540.581727312401,18597.892525065105,1.6353230226469015,2.84351923507177,317.054998390854,123.32039394582529,768.4966526581657,0.019344580831721532,0.1056436413004103,183.05178866887593,71.19906264119292,443.6917492835183,0.011168598950554902,0.06099338474296416
DBVPG 6044,haploid_mat_a,SGRP-14,0.02,Ethanol,16240.305566585286,6178.317547053207,48633.473384765624,2.627479568071497,7.869587216988663,927.5752085829602,171.63230653006224,2508.7759340874254,0.09326004195841768,0.26808981322028125,535.5357963689953,99.0919583767678,1448.44246088183,0.05384371032932824,0.15478172582972588
DBVPG 6044,haploid_mat_alpha,SGRP-15,0.02,Ethanol,9440.831467333985,5697.076510423821,17349.647321940105,1.6571646099408335,3.0452010568812686,63.58313046666427,44.94739873885138,627.696970139746,0.00976263968855457,0.10094906459985512,36.709737490847715,25.950392761249294,362.40101467969487,0.005636462652188305,0.058282969621167274
322134S,diploid,SGRP-16,0.02,Ethanol,25064.51693071289,9619.49286311849,65155.566899739584,2.6082157613885912,6.795252110501689,2178.4259516099164,664.8945690931413,3920.6672469191376,0.20668857810302327,0.6397328903541348,1257.714809571652,383.87705844864536,2263.598290411713,0.11933170620620148,0.36934995645541713
322134S,haploid_mat_a,SGRP-17,0.02,Ethanol,29903.427023372395,11483.263711588543,70883.58407682291,2.6075017270067327,6.192304362114742,2392.086484414504,877.6229919372129,4287.494610982414,0.17655164319797786,0.5427630026320984,1381.0717757015796,506.6958706419546,2475.3861677997666,0.10193213872622328,0.3133643656758116
322134S,haploid_mat_alpha,SGRP-18,0.02,Ethanol,40838.78170830078,12305.704572265626,114340.23475,3.341252989355672,9.321691749068439,5767.943270688433,2010.172589614213,16498.05560410428,0.3449385741143313,0.46977442716344325,3330.1236000024574,1160.573685731373,9525.156844135021,0.19915037861879487,0.27122439198121623
L_1374,diploid,SGRP-19,0.02,Ethanol,9403.831853271484,5015.35137021247,18147.1687421875,1.8749566074472492,3.6178614510606426,338.30640698710084,59.707547689634666,1402.0512959721163,0.06124176031288606,0.2667756078145895,195.32129514257778,34.472168731263,809.4746931471651,0.035357946802291304,0.15402296898497927
273614N,haploid_mat_a,SGRP-2,0.02,Ethanol,24498.604767740886,6805.907126464844,61826.3259140625,3.5938432739094854,9.074424629277221,2711.9353482460656,205.8833313881205,5288.738744767322,0.2980537215782817,0.5255939254472227,1565.7366033347275,118.8667967985883,3053.454737965017,0.17208139638619072,0.30345179434138614
L_1374,haploid_mat_a,SGRP-20,0.02,Ethanol,11151.389630224608,5437.5276982015375,27623.296122395834,2.049155316436984,5.075898164170616,922.2499042874429,152.90292027446583,3041.568860963969,0.12087099672592862,0.47350196137120176,532.4612305004617,88.27854218034274,1756.0506006363312,0.06978490249693327,0.27337648485947913
L_1374,haploid_mat_alpha,SGRP-21,0.02,Ethanol,10952.181341975911,5371.988962271615,27321.331729166668,2.0374566459321435,5.084026442161449,914.6658164462452,145.7966774436221,2729.790933562115,0.13161395038250887,0.4550821294868635,528.0825553437885,84.17575096902826,1576.045530323487,0.07598734968245155,0.26274178996262876
L_1528,diploid,SGRP-22,0.02,Ethanol,9296.180703857422,5500.584590006511,16809.120046223958,1.688969420927409,3.0548428788806796,602.357504736596,140.69202629340717,790.5291480116978,0.06734459859328441,0.06916210686328404,347.77126750806497,81.22857925333254,456.41221640679925,0.03888142212630005,0.03993076101523871
L_1528,haploid_mat_a,SGRP-23,0.02,Ethanol,11026.295640983073,5147.174004963949,32838.0449453125,2.142514575154312,6.38267693492493,412.7629697044914,64.90020130781734,2490.5723573694627,0.08727998589151073,0.5305968895183858,238.30881167039746,37.47014869552925,1437.9326209635,0.05039112334933046,0.3063402569946182
L_1528,haploid_mat_alpha,SGRP-24,0.02,Ethanol,10883.5435640625,5183.355514485677,31006.14077083333,2.100012459255346,5.983226847155194,88.07730580535976,63.39787045014362,481.4702872856989,0.03911809400160191,0.1668525919092734,50.85145621622144,36.60277757043944,277.9769999712047,0.02258484210200995,0.09633238885380578
NCYC 110,diploid,SGRP-25,0.02,Ethanol,16671.60001411133,8565.555814724337,30986.50043815104,1.946806434634148,3.618402008088742,362.9469279644532,243.22435522266113,793.4687717247264,0.037708287569992165,0.08506891334992957,209.54750656182478,140.42564696127658,458.10940894883254,0.021770889979214798,0.049114560022250786
NCYC 110,haploid_mat_a,SGRP-26,0.02,Ethanol,37078.58403784179,6967.157364420573,193969.61963802084,5.309755529929879,27.855986352731396,5061.441448089409,395.31469198300744,13707.307720607618,0.5029323911730336,1.5819658521527855,2922.22458254195,228.23504383100334,7913.917802357844,0.2903681514279331,0.9133484105892065
NCYC 110,haploid_mat_alpha,SGRP-27,0.02,Ethanol,16593.32584982096,6052.654263997396,58203.029138671875,2.7407112056661758,9.617986419966538,774.0711457741758,143.2989271039711,1299.0487881953754,0.0767390037071305,0.22084609067466,446.91018438464243,82.73367413806227,750.0061675550572,0.04430528444765548,0.12750554990049145
SK1,diploid,SGRP-28,0.02,Ethanol,11510.656409928386,5452.941368001302,32421.77919921875,2.1034657780251877,5.948825880326237,1709.0456561960334,364.61858628784756,2960.8057480265807,0.1669928228109898,0.45955753019635587,986.7179696621406,210.5126389448296,1709.4219956413376,0.09641335120266044,0.26532566376698563
