"","tube_name","media","carbon_source","sugar_concentration","estradiol_concentration","dilution","replicate","strain_1","strain_2","innoc_rep","strains"
"1","Tube_001","BD_YNB","glucose_fructose",5,0,10000,1,"yJB064","yJB077",1,"yJB064_yJB077"
"2","Tube_002","BD_YNB","glucose_fructose",5,0,10000,2,"yJB064","yJB077",1,"yJB064_yJB077"
"3","Tube_003","BD_YNB","glucose_fructose",5,0,10000,3,"yJB064","yJB077",1,"yJB064_yJB077"
"4","Tube_004","BD_YNB","glucose_fructose",5,0,10000,1,"yJB064","yJB077",2,"yJB064_yJB077"
"5","Tube_005","BD_YNB","glucose_fructose",5,0,10000,2,"yJB064","yJB077",2,"yJB064_yJB077"
"6","Tube_006","BD_YNB","glucose_fructose",5,0,10000,3,"yJB064","yJB077",2,"yJB064_yJB077"
"7","Tube_007","BD_YNB","glucose_fructose",5,0,10000,1,"yJB069","yJB077",1,"yJB069_yJB077"
"8","Tube_008","BD_YNB","glucose_fructose",5,0,10000,2,"yJB069","yJB077",1,"yJB069_yJB077"
"9","Tube_009","BD_YNB","glucose_fructose",5,0,10000,3,"yJB069","yJB077",1,"yJB069_yJB077"
"10","Tube_010","BD_YNB","glucose_fructose",5,0,10000,1,"yJB069","yJB077",2,"yJB069_yJB077"
"11","Tube_011","BD_YNB","glucose_fructose",5,0,10000,2,"yJB069","yJB077",2,"yJB069_yJB077"
"12","Tube_012","BD_YNB","glucose_fructose",5,0,10000,3,"yJB069","yJB077",2,"yJB069_yJB077"
"13","Tube_013","BD_YNB","glucose_fructose",10,0,10000,1,"yJB064","yJB077",1,"yJB064_yJB077"
"14","Tube_014","BD_YNB","glucose_fructose",10,0,10000,2,"yJB064","yJB077",1,"yJB064_yJB077"
"15","Tube_015","BD_YNB","glucose_fructose",10,0,10000,3,"yJB064","yJB077",1,"yJB064_yJB077"
"16","Tube_016","BD_YNB","glucose_fructose",10,0,10000,1,"yJB064","yJB077",2,"yJB064_yJB077"
"17","Tube_017","BD_YNB","glucose_fructose",10,0,10000,2,"yJB064","yJB077",2,"yJB064_yJB077"
"18","Tube_018","BD_YNB","glucose_fructose",10,0,10000,3,"yJB064","yJB077",2,"yJB064_yJB077"
"19","Tube_019","BD_YNB","glucose_fructose",10,0,10000,1,"yJB069","yJB077",1,"yJB069_yJB077"
"20","Tube_020","BD_YNB","glucose_fructose",10,0,10000,2,"yJB069","yJB077",1,"yJB069_yJB077"
"21","Tube_021","BD_YNB","glucose_fructose",10,0,10000,3,"yJB069","yJB077",1,"yJB069_yJB077"
"22","Tube_022","BD_YNB","glucose_fructose",10,0,10000,1,"yJB069","yJB077",2,"yJB069_yJB077"
"23","Tube_023","BD_YNB","glucose_fructose",10,0,10000,2,"yJB069","yJB077",2,"yJB069_yJB077"
"24","Tube_024","BD_YNB","glucose_fructose",10,0,10000,3,"yJB069","yJB077",2,"yJB069_yJB077"
"25","Tube_025","BD_YNB","glucose_fructose",20,0,10000,1,"yJB064","yJB077",1,"yJB064_yJB077"
"26","Tube_026","BD_YNB","glucose_fructose",20,0,10000,2,"yJB064","yJB077",1,"yJB064_yJB077"
"27","Tube_027","BD_YNB","glucose_fructose",20,0,10000,3,"yJB064","yJB077",1,"yJB064_yJB077"
"28","Tube_028","BD_YNB","glucose_fructose",20,0,10000,1,"yJB064","yJB077",2,"yJB064_yJB077"
"29","Tube_029","BD_YNB","glucose_fructose",20,0,10000,2,"yJB064","yJB077",2,"yJB064_yJB077"
"30","Tube_030","BD_YNB","glucose_fructose",20,0,10000,3,"yJB064","yJB077",2,"yJB064_yJB077"
"31","Tube_031","BD_YNB","glucose_fructose",20,0,10000,1,"yJB069","yJB077",1,"yJB069_yJB077"
"32","Tube_032","BD_YNB","glucose_fructose",20,0,10000,2,"yJB069","yJB077",1,"yJB069_yJB077"
"33","Tube_033","BD_YNB","glucose_fructose",20,0,10000,3,"yJB069","yJB077",1,"yJB069_yJB077"
"34","Tube_034","BD_YNB","glucose_fructose",20,0,10000,1,"yJB069","yJB077",2,"yJB069_yJB077"
"35","Tube_035","BD_YNB","glucose_fructose",20,0,10000,2,"yJB069","yJB077",2,"yJB069_yJB077"
"36","Tube_036","BD_YNB","glucose_fructose",20,0,10000,3,"yJB069","yJB077",2,"yJB069_yJB077"
"37","Tube_037","BD_YNB","sucrose",5,0,10000,1,"yJB064","yJB077",1,"yJB064_yJB077"
"38","Tube_038","BD_YNB","sucrose",5,0,10000,2,"yJB064","yJB077",1,"yJB064_yJB077"
"39","Tube_039","BD_YNB","sucrose",5,0,10000,3,"yJB064","yJB077",1,"yJB064_yJB077"
"40","Tube_040","BD_YNB","sucrose",5,0,10000,1,"yJB064","yJB077",2,"yJB064_yJB077"
"41","Tube_041","BD_YNB","sucrose",5,0,10000,2,"yJB064","yJB077",2,"yJB064_yJB077"
"42","Tube_042","BD_YNB","sucrose",5,0,10000,3,"yJB064","yJB077",2,"yJB064_yJB077"
"43","Tube_043","BD_YNB","sucrose",5,0,10000,1,"yJB069","yJB077",1,"yJB069_yJB077"
"44","Tube_044","BD_YNB","sucrose",5,0,10000,2,"yJB069","yJB077",1,"yJB069_yJB077"
"45","Tube_045","BD_YNB","sucrose",5,0,10000,3,"yJB069","yJB077",1,"yJB069_yJB077"
"46","Tube_046","BD_YNB","sucrose",5,0,10000,1,"yJB069","yJB077",2,"yJB069_yJB077"
"47","Tube_047","BD_YNB","sucrose",5,0,10000,2,"yJB069","yJB077",2,"yJB069_yJB077"
"48","Tube_048","BD_YNB","sucrose",5,0,10000,3,"yJB069","yJB077",2,"yJB069_yJB077"
"49","Tube_049","BD_YNB","sucrose",10,0,10000,1,"yJB064","yJB077",1,"yJB064_yJB077"
"50","Tube_050","BD_YNB","sucrose",10,0,10000,2,"yJB064","yJB077",1,"yJB064_yJB077"
"51","Tube_051","BD_YNB","sucrose",10,0,10000,3,"yJB064","yJB077",1,"yJB064_yJB077"
"52","Tube_052","BD_YNB","sucrose",10,0,10000,1,"yJB064","yJB077",2,"yJB064_yJB077"
"53","Tube_053","BD_YNB","sucrose",10,0,10000,2,"yJB064","yJB077",2,"yJB064_yJB077"
"54","Tube_054","BD_YNB","sucrose",10,0,10000,3,"yJB064","yJB077",2,"yJB064_yJB077"
"55","Tube_055","BD_YNB","sucrose",10,0,10000,1,"yJB069","yJB077",1,"yJB069_yJB077"
"56","Tube_056","BD_YNB","sucrose",10,0,10000,2,"yJB069","yJB077",1,"yJB069_yJB077"
"57","Tube_057","BD_YNB","sucrose",10,0,10000,3,"yJB069","yJB077",1,"yJB069_yJB077"
"58","Tube_058","BD_YNB","sucrose",10,0,10000,1,"yJB069","yJB077",2,"yJB069_yJB077"
"59","Tube_059","BD_YNB","sucrose",10,0,10000,2,"yJB069","yJB077",2,"yJB069_yJB077"
"60","Tube_060","BD_YNB","sucrose",10,0,10000,3,"yJB069","yJB077",2,"yJB069_yJB077"
"61","Tube_061","BD_YNB","sucrose",20,0,10000,1,"yJB064","yJB077",1,"yJB064_yJB077"
"62","Tube_062","BD_YNB","sucrose",20,0,10000,2,"yJB064","yJB077",1,"yJB064_yJB077"
"63","Tube_063","BD_YNB","sucrose",20,0,10000,3,"yJB064","yJB077",1,"yJB064_yJB077"
"64","Tube_064","BD_YNB","sucrose",20,0,10000,1,"yJB064","yJB077",2,"yJB064_yJB077"
"65","Tube_065","BD_YNB","sucrose",20,0,10000,2,"yJB064","yJB077",2,"yJB064_yJB077"
"66","Tube_066","BD_YNB","sucrose",20,0,10000,3,"yJB064","yJB077",2,"yJB064_yJB077"
"67","Tube_067","BD_YNB","sucrose",20,0,10000,1,"yJB069","yJB077",1,"yJB069_yJB077"
"68","Tube_068","BD_YNB","sucrose",20,0,10000,2,"yJB069","yJB077",1,"yJB069_yJB077"
"69","Tube_069","BD_YNB","sucrose",20,0,10000,3,"yJB069","yJB077",1,"yJB069_yJB077"
"70","Tube_070","BD_YNB","sucrose",20,0,10000,1,"yJB069","yJB077",2,"yJB069_yJB077"
"71","Tube_071","BD_YNB","sucrose",20,0,10000,2,"yJB069","yJB077",2,"yJB069_yJB077"
"72","Tube_072","BD_YNB","sucrose",20,0,10000,3,"yJB069","yJB077",2,"yJB069_yJB077"
